Kr,Rs,Ar,Vf (%),k,k_egv,k_mean,k_std,k_max,k_min
5,10000,1,5,"[[0.11253937912637, 4.3336911915255e-05, -0.0006833547692942], [4.3336911915255e-05, 0.11326921312519, 0.0002291375642963], [-0.0006833547692942, 0.0002291375642963, 0.11316357112729]]","[0.11207829149659551, 0.11367613506583855, 0.11321773681641586]",0.112990721126283,0.000822756410256,0.113676135065839,0.112078291496596
5,10000,2,5,"[[0.11287893231368, -0.0004538233828366, -0.0006266076763767], [-0.0004538233828366, 0.11350595306614, -0.0008422722019535], [-0.0006266076763767, -0.0008422722019535, 0.11485070299384]]","[0.11227344905303073, 0.1136453762011327, 0.11531676311949653]",0.113745196124553,0.001524110606098,0.115316763119497,0.112273449053031
5,10000,3,5,"[[0.11434687691067, -0.0011052947802654, 0.0003953624988272], [-0.0011052947802654, 0.11519209573163, -0.0005706269682099], [0.0003953624988272, -0.0005706269682099, 0.11574098812309]]","[0.11358615165031512, 0.11654914330278134, 0.11514466581229345]",0.11509332025513,0.00148216299975,0.116549143302781,0.113586151650315
5,10000,4,5,"[[0.11552570394772, -0.0010668687385056, -0.0010885259783767], [-0.0010668687385056, 0.11581719428906, 0.0001616187471979], [-0.0010885259783767, 0.0001616187471979, 0.1183414060516]]","[0.11880371198639532, 0.11445245610010372, 0.11642813620188087]",0.116561434762793,0.002178688441873,0.118803711986395,0.114452456100104
5,10000,5,5,"[[0.11565466145708, 0.001750290294869, -0.0014743656858871], [0.001750290294869, 0.11581329817836, 0.0008559704888733], [-0.0014743656858871, 0.0008559704888733, 0.11948508890147]]","[0.11351844444119448, 0.11742999989990113, 0.1200046041958145]",0.116984349512303,0.003265963914618,0.120004604195815,0.113518444441194
5,10000,6,5,"[[0.11527743404662, 0.000774774737221, -0.0021549955534922], [0.000774774737221, 0.11627501962949, 5.2428849479384e-05], [-0.0021549955534922, 5.2428849479384e-05, 0.11912644871694]]","[0.12011047342728944, 0.11407058555477152, 0.11649784341098898]",0.11689296746435,0.00303926860302,0.120110473427289,0.114070585554772
5,10000,1,10,"[[0.12786570658074, -8.9521358533882e-05, -0.0007468422790197], [-8.9521358533882e-05, 0.1285957494094, 0.0007378895032264], [-0.0007468422790197, 0.0007378895032264, 0.12879850471695]]","[0.12966941723156816, 0.12737082067276828, 0.12821972280275357]",0.128419986902363,0.001162310551112,0.129669417231568,0.127370820672768
5,10000,2,10,"[[0.12818066629393, -0.001626702285688, -4.0170317371771e-06], [-0.001626702285688, 0.13178680036783, 0.0001037148186504], [-4.0170317371771e-06, 0.0001037148186504, 0.13184528540647]]","[0.12755505475602166, 0.13242870272513943, 0.13182899458706884]",0.13060425068941,0.00265765109502,0.132428702725139,0.127555054756022
5,10000,3,10,"[[0.13187826227875, -0.0018387251933531, 2.1318595846964e-05], [-0.0018387251933531, 0.13306236171406, 0.0009414246437943], [2.1318595846964e-05, 0.0009414246437943, 0.13405552157807]]","[0.13044445225969478, 0.13352577764924684, 0.13502591566193847]",0.132998715190293,0.00233576493964,0.135025915661938,0.130444452259695
5,10000,4,10,"[[0.13448521222091, -0.0016085581339105, -0.0020485808732513], [-0.0016085581339105, 0.13491600855506, 0.001922217366747], [-0.0020485808732513, 0.001922217366747, 0.13724964405056]]","[0.1396270608952764, 0.13303623387492272, 0.13398757005633094]",0.13555028827551,0.003562487386289,0.139627060895276,0.133036233874923
