,trial_index,arm_name,trial_status,generation_node,k_mean,Kr,Rs,Ar,Vf
0,0,0_0,COMPLETED,Sobol,0.244017479240087,15.0,0.0001,6.0,45.0
1,1,1_0,COMPLETED,Sobol,0.029865781546412,55.0,10000.0,1.0,15.0
2,2,2_0,COMPLETED,Sobol,0.184713609639717,100.0,100.0,4.0,55.0
3,3,3_0,COMPLETED,Sobol,0.162619144682683,10.0,100000000.0,3.0,25.0
4,4,4_0,COMPLETED,Sobol,0.09012872914604,10.0,0.01,1.0,30.0
5,5,5_0,COMPLETED,Sobol,0.378798064644857,70.0,100000000.0,6.0,60.0
6,6,6_0,COMPLETED,Sobol,0.066684500200603,40.0,0.01,3.0,5.0
7,7,7_0,COMPLETED,Sobol,0.132751880700197,25.0,1000000.0,4.0,35.0
8,8,8_0,COMPLETED,Sobol,0.364171517617916,25.0,100.0,3.0,60.0
9,9,9_0,COMPLETED,Sobol,0.081643291876883,40.0,100000000.0,4.0,30.0
10,10,10_0,COMPLETED,Sobol,0.118763951994,70.0,0.0001,1.0,40.0
11,11,11_0,COMPLETED,Sobol,0.074148217702964,10.0,10000.0,6.0,10.0
12,12,12_0,COMPLETED,Sobol,0.136785655432107,5.0,0.0001,5.0,10.0
13,13,13_0,COMPLETED,Sobol,0.153458811754743,100.0,0.0001,2.0,50.0
14,14,14_0,COMPLETED,Sobol,0.063739749137389,55.0,0.01,5.0,20.0
15,15,15_0,COMPLETED,Sobol,0.258664025082987,15.0,100000000.0,2.0,50.0
16,16,16_0,COMPLETED,Sobol,0.024427764462234,15.0,0.01,4.0,5.0
17,17,17_0,COMPLETED,Sobol,0.13089869968321,55.0,100000000.0,3.0,35.0
18,18,18_0,COMPLETED,Sobol,0.08450637232947,100.0,0.0001,6.0,25.0
19,19,19_0,COMPLETED,Sobol,0.42521563870711,5.0,10000.0,1.0,55.0
20,20,20_0,COMPLETED,Sobol,0.38155416756879,10.0,1e-06,2.0,50.0
21,21,21_0,COMPLETED,Sobol,0.023591826836108,70.0,10000.0,5.0,20.0
22,22,22_0,COMPLETED,Sobol,0.118688516413033,40.0,100.0,2.0,45.0
23,23,23_0,COMPLETED,Sobol,0.0440345761555,25.0,100000000.0,5.0,15.0
24,24,24_0,COMPLETED,UpperConfidence,0.30069244711299,40.0,100000000.0,1.0,5.0
25,25,25_0,COMPLETED,UpperConfidence,0.17198368424742,100.0,100.0,2.0,10.0
26,26,25_0,COMPLETED,UpperConfidence,0.306987738815686,100.0,0.0001,2.0,10.0
27,27,27_0,COMPLETED,UpperConfidence,0.112990721126283,5.0,10000.0,1.0,5.0
28,28,28_0,COMPLETED,UpperConfidence,0.182522439140573,100.0,100.0,6.0,10.0
29,29,29_0,COMPLETED,UpperConfidence,0.34772895629659,100.0,0.0001,6.0,15.0
30,30,30_0,COMPLETED,UpperConfidence,0.212611438802287,5.0,0.0001,6.0,25.0
31,31,31_0,COMPLETED,UpperConfidence,0.058588187567963,70.0,0.01,1.0,30.0
32,32,32_0,COMPLETED,UpperConfidence,0.19729782410677,100.0,100.0,6.0,45.0
33,33,33_0,COMPLETED,UpperConfidence,0.014048635495231,70.0,1000000.0,1.0,20.0
34,34,34_0,COMPLETED,UpperConfidence,0.10154271676495,40.0,0.0001,6.0,30.0
35,35,35_0,COMPLETED,UpperConfidence,0.10057173984706,100.0,0.0001,6.0,30.0
36,36,35_0,COMPLETED,UpperConfidence,0.11107075714952,100.0,0.0001,6.0,35.0
37,37,35_0,COMPLETED,UpperConfidence,0.131566078131547,100.0,0.0001,6.0,40.0
38,38,35_0,COMPLETED,UpperConfidence,0.197066739635553,100.0,100.0,6.0,40.0
39,39,35_0,COMPLETED,UpperConfidence,0.084575499471158,100.0,0.0001,5.0,25.0
40,40,35_0,COMPLETED,UpperConfidence,0.10850760361385,100.0,0.0001,5.0,35.0
41,41,35_0,COMPLETED,UpperConfidence,0.144989286924947,100.0,100.0,5.0,25.0
42,42,35_0,COMPLETED,UpperConfidence,0.081199337910553,100.0,0.0001,5.0,20.0
43,43,35_0,COMPLETED,UpperConfidence,0.127640677491827,100.0,0.0001,5.0,40.0
44,44,44_0,COMPLETED,UpperConfidence,0.062166814768229,25.0,10000.0,1.0,20.0
45,45,35_0,COMPLETED,UpperConfidence,0.147728496820737,100.0,0.0001,6.0,45.0
46,46,35_0,COMPLETED,UpperConfidence,0.10449417067332,70.0,0.0001,6.0,30.0
47,47,35_0,COMPLETED,UpperConfidence,0.067774988700538,70.0,0.01,6.0,30.0
48,48,35_0,COMPLETED,UpperConfidence,0.17204586319716,70.0,100.0,6.0,30.0
49,49,35_0,COMPLETED,UpperConfidence,0.047949297692121,70.0,10000.0,6.0,30.0
50,50,35_0,COMPLETED,UpperConfidence,0.025846255759229,70.0,1000000.0,6.0,30.0
51,51,35_0,COMPLETED,UpperConfidence,0.084351197186973,70.0,0.0001,6.0,25.0
52,52,35_0,COMPLETED,UpperConfidence,0.10370549949093,70.0,0.0001,6.0,35.0
53,53,35_0,COMPLETED,UpperConfidence,0.046217372721473,70.0,0.01,6.0,25.0
54,54,35_0,COMPLETED,UpperConfidence,0.096633848425321,70.0,0.01,6.0,35.0
55,55,35_0,COMPLETED,UpperConfidence,0.20920575081039,70.0,100.0,6.0,35.0
56,56,35_0,COMPLETED,UpperConfidence,0.040123924144593,70.0,10000.0,6.0,25.0
57,57,35_0,COMPLETED,UpperConfidence,0.022390101868487,70.0,1000000.0,6.0,25.0
58,58,35_0,COMPLETED,UpperConfidence,0.344626256965453,100.0,0.0001,5.0,15.0
59,59,59_0,COMPLETED,UpperConfidence,0.18040680692413,100.0,100.0,5.0,10.0
60,60,35_0,COMPLETED,UpperConfidence,0.146514168004393,100.0,0.0001,5.0,45.0
61,61,35_0,COMPLETED,UpperConfidence,0.181807720298293,100.0,100.0,5.0,45.0
62,62,35_0,COMPLETED,UpperConfidence,0.304710116429507,100.0,0.0001,6.0,10.0
63,63,35_0,COMPLETED,UpperConfidence,0.17402369535077,100.0,0.0001,6.0,50.0
64,64,35_0,COMPLETED,UpperConfidence,0.066612628675733,70.0,0.0001,6.0,20.0
65,65,35_0,COMPLETED,UpperConfidence,0.133775760217973,70.0,0.0001,6.0,40.0
66,66,66_0,COMPLETED,UpperConfidence,0.26483396301725,100.0,0.0001,1.0,5.0
67,67,35_0,COMPLETED,UpperConfidence,0.032195156136351,70.0,0.01,6.0,20.0
68,68,35_0,COMPLETED,UpperConfidence,0.127501146694343,70.0,0.01,6.0,40.0
69,69,35_0,COMPLETED,UpperConfidence,0.092022914868413,70.0,100.0,6.0,20.0
70,70,35_0,COMPLETED,UpperConfidence,0.247145429725483,70.0,100.0,6.0,40.0
71,71,35_0,COMPLETED,UpperConfidence,0.028050413644566,70.0,10000.0,6.0,20.0
72,72,35_0,COMPLETED,UpperConfidence,0.016584914929595,70.0,1000000.0,6.0,20.0
73,73,35_0,COMPLETED,UpperConfidence,0.263361331492827,70.0,100000000.0,6.0,40.0
74,74,35_0,COMPLETED,UpperConfidence,0.103783002356923,70.0,0.0001,5.0,30.0
75,75,35_0,COMPLETED,UpperConfidence,0.096368867533821,70.0,0.01,5.0,30.0
76,76,35_0,COMPLETED,UpperConfidence,0.14479562827514,70.0,100.0,5.0,30.0
77,77,35_0,COMPLETED,UpperConfidence,0.25845569927199,70.0,100000000.0,5.0,30.0
78,78,35_0,COMPLETED,UpperConfidence,0.084490267598988,70.0,0.0001,5.0,25.0
79,79,35_0,COMPLETED,UpperConfidence,0.127573621289383,70.0,0.0001,5.0,35.0
80,80,35_0,COMPLETED,UpperConfidence,0.075577464125558,70.0,0.01,5.0,25.0
81,81,35_0,COMPLETED,UpperConfidence,0.120166696392207,70.0,0.01,5.0,35.0
82,82,35_0,COMPLETED,UpperConfidence,0.11645475603354,70.0,100.0,5.0,25.0
83,83,35_0,COMPLETED,UpperConfidence,0.19242954388009,70.0,100.0,5.0,35.0
84,84,35_0,COMPLETED,UpperConfidence,0.034790119197759,70.0,10000.0,5.0,25.0
85,85,35_0,COMPLETED,UpperConfidence,0.045497392952267,70.0,10000.0,5.0,35.0
86,86,35_0,COMPLETED,UpperConfidence,0.033951728712823,70.0,1000000.0,5.0,35.0
87,87,35_0,COMPLETED,UpperConfidence,0.25090530406713,70.0,100000000.0,5.0,25.0
88,88,35_0,COMPLETED,UpperConfidence,0.097781340791007,100.0,0.0001,4.0,30.0
89,89,35_0,COMPLETED,UpperConfidence,0.103050506019527,100.0,0.0001,4.0,35.0
90,90,35_0,COMPLETED,UpperConfidence,0.181751612265797,100.0,100.0,4.0,25.0
91,91,35_0,COMPLETED,UpperConfidence,0.14349448417466,100.0,100.0,4.0,35.0
92,92,35_0,COMPLETED,UpperConfidence,0.286717253003467,100.0,0.0001,5.0,10.0
93,93,35_0,COMPLETED,UpperConfidence,0.173386010303367,100.0,0.0001,5.0,50.0
94,94,35_0,COMPLETED,UpperConfidence,0.06571544078204,70.0,0.0001,5.0,20.0
95,95,35_0,COMPLETED,UpperConfidence,0.158573072389903,70.0,0.0001,5.0,40.0
96,96,35_0,COMPLETED,UpperConfidence,0.057359803296299,70.0,0.01,5.0,20.0
97,97,35_0,COMPLETED,UpperConfidence,0.15216186409413,70.0,0.01,5.0,40.0
98,98,35_0,COMPLETED,UpperConfidence,0.081913654947152,70.0,100.0,5.0,20.0
99,99,35_0,COMPLETED,UpperConfidence,0.23325623532533,70.0,100.0,5.0,40.0
100,100,100_0,COMPLETED,ProbabilityOfImp,0.027751576437023,55.0,10000.0,3.0,20.0
101,101,101_0,COMPLETED,ProbabilityOfImp,0.026882630605303,40.0,1000000.0,1.0,15.0
102,102,102_0,COMPLETED,ProbabilityOfImp,0.015282925984839,70.0,1000000.0,5.0,20.0
103,103,103_0,COMPLETED,ProbabilityOfImp,0.02854487567556,70.0,0.01,1.0,20.0
104,104,104_0,COMPLETED,ProbabilityOfImp,0.031315692050005,70.0,10000.0,1.0,25.0
105,105,104_0,COMPLETED,ProbabilityOfImp,0.092281151715671,70.0,100.0,1.0,25.0
