,trial_index,arm_name,trial_status,generation_node,k_mean,Kr,Rs,Ar,Vf
0,0,0_0,COMPLETED,Sobol,0.17188606265381,100.0,100.0,1.0,25.0
1,1,1_0,COMPLETED,Sobol,0.277653862408193,5.0,0.0001,6.0,35.0
2,2,2_0,COMPLETED,Sobol,0.060353581265985,10.0,10000000000.0,3.0,10.0
3,3,3_0,COMPLETED,Sobol,0.20153840929415,40.0,0.01,4.0,50.0
4,4,4_0,COMPLETED,Sobol,0.034237024302099,55.0,100000000.0,6.0,60.0
5,5,5_0,COMPLETED,Sobol,0.017094392131105,15.0,100.0,1.0,5.0
6,6,6_0,COMPLETED,Sobol,0.179523404871483,10.0,1000000.0,5.0,45.0
7,7,7_0,COMPLETED,Sobol,0.047144595473512,70.0,0.0001,3.0,20.0
8,8,8_0,COMPLETED,Sobol,0.05098658430472,10.0,10000000000.0,5.0,5.0
9,9,9_0,COMPLETED,Sobol,0.252372306364437,10.0,0.01,3.0,55.0
10,10,10_0,COMPLETED,Sobol,0.1465006996544,15.0,10000.0,5.0,20.0
11,11,11_0,COMPLETED,Sobol,0.146116231276527,55.0,0.0001,1.0,40.0
12,12,12_0,COMPLETED,ProbabilityOfImp,0.357246385220593,40.0,0.0001,1.0,5.0
13,13,13_0,COMPLETED,ProbabilityOfImp,0.080223050145519,15.0,10000.0,1.0,5.0
14,14,14_0,COMPLETED,ProbabilityOfImp,0.021652557792597,15.0,0.01,1.0,5.0
15,15,15_0,COMPLETED,ProbabilityOfImp,0.056145376462685,55.0,1000000.0,6.0,60.0
16,16,16_0,COMPLETED,ProbabilityOfImp,0.017613390438905,15.0,100.0,2.0,5.0
17,17,17_0,COMPLETED,ProbabilityOfImp,0.258549295912587,55.0,1000000.0,1.0,45.0
18,18,18_0,COMPLETED,ProbabilityOfImp,0.022255290446351,15.0,0.01,2.0,5.0
19,19,19_0,COMPLETED,ProbabilityOfImp,0.026730663568284,15.0,0.01,1.0,10.0
20,20,20_0,COMPLETED,ProbabilityOfImp,0.149071843569667,70.0,0.0001,3.0,40.0
21,21,21_0,COMPLETED,ProbabilityOfImp,0.086391433866633,10.0,100.0,1.0,5.0
22,22,22_0,COMPLETED,ProbabilityOfImp,0.066612628675733,70.0,0.0001,6.0,20.0
