,trial_index,arm_name,trial_status,generation_node,k_mean,Kr,Rs,Ar,Vf
0,0,0_0,COMPLETED,Sobol,0.076820334653917,25.0,100.0,4.0,5.0
1,1,1_0,COMPLETED,Sobol,0.275451658335037,10.0,10000000000.0,1.0,50.0
2,2,2_0,COMPLETED,Sobol,0.090496543486757,55.0,0.0001,6.0,20.0
3,3,3_0,COMPLETED,Sobol,0.107228386782493,10.0,10000.0,3.0,35.0
4,4,4_0,COMPLETED,Sobol,0.336036854656543,5.0,0.0001,2.0,45.0
5,5,5_0,COMPLETED,Sobol,0.073779292123111,40.0,1000000.0,5.0,30.0
6,6,6_0,COMPLETED,Sobol,0.015787369512857,70.0,0.01,2.0,60.0
7,7,7_0,COMPLETED,Sobol,0.060360203241344,15.0,100000000.0,5.0,15.0
8,8,8_0,COMPLETED,Sobol,0.088117115157252,15.0,0.0001,3.0,25.0
9,9,9_0,COMPLETED,Sobol,0.247145429725483,70.0,100.0,6.0,40.0
10,10,10_0,COMPLETED,Sobol,0.041712244562995,40.0,100.0,1.0,10.0
11,11,11_0,COMPLETED,Sobol,0.424267879867527,10.0,10000000000.0,5.0,60.0
12,12,12_0,COMPLETED,ProbabilityOfImp,0.01525809635253,70.0,0.01,1.0,60.0
