,trial_index,arm_name,trial_status,generation_node,k_mean,Kr,Rs,Ar,Vf
0,0,0_0,COMPLETED,Sobol,0.171833612721937,5.0,0.0001,2.0,20.0
1,1,1_0,COMPLETED,Sobol,0.17489007428314,40.0,100000000.0,4.0,45.0
2,2,2_0,COMPLETED,Sobol,0.029014193899947,70.0,0.0001,2.0,5.0
3,3,3_0,COMPLETED,Sobol,0.462783059067993,15.0,10000.0,5.0,60.0
4,4,4_0,COMPLETED,Sobol,0.32355568487278,25.0,0.0001,4.0,55.0
5,5,5_0,COMPLETED,Sobol,0.156357113771817,100.0,100.0,1.0,15.0
6,6,6_0,COMPLETED,Sobol,0.15471967097473,55.0,100.0,6.0,40.0
7,7,7_0,COMPLETED,Sobol,0.115673492187913,10.0,10000000000.0,3.0,25.0
8,8,8_0,COMPLETED,Sobol,0.159744782206997,10.0,1e-06,6.0,15.0
9,9,9_0,COMPLETED,Sobol,0.195471961918397,55.0,10000.0,3.0,50.0
10,10,10_0,COMPLETED,Sobol,0.097781340791007,100.0,0.0001,4.0,30.0
11,11,11_0,COMPLETED,Sobol,0.07973402117542,25.0,100000000.0,1.0,35.0
12,12,12_0,COMPLETED,ProbabilityOfImp,0.274315974214463,100.0,0.0001,2.0,5.0
13,13,13_0,COMPLETED,ProbabilityOfImp,0.023162493606238,70.0,0.01,2.0,10.0
14,14,14_0,COMPLETED,ProbabilityOfImp,0.019722796677668,70.0,0.01,1.0,10.0
15,15,15_0,COMPLETED,ProbabilityOfImp,0.02626469935305,70.0,0.0001,1.0,10.0
16,16,16_0,COMPLETED,ProbabilityOfImp,0.021619814687977,70.0,100.0,1.0,10.0
17,17,17_0,COMPLETED,ProbabilityOfImp,0.019282646982743,70.0,0.01,1.0,5.0
18,18,18_0,COMPLETED,ProbabilityOfImp,0.039193951264181,55.0,0.01,1.0,5.0
19,19,19_0,COMPLETED,ProbabilityOfImp,0.10159633102379,10.0,10000000000.0,1.0,25.0
20,20,19_0,COMPLETED,ProbabilityOfImp,0.12298717167541,10.0,10000000000.0,1.0,30.0
21,21,19_0,COMPLETED,ProbabilityOfImp,0.08258375640435,10.0,10000000000.0,1.0,20.0
22,22,19_0,COMPLETED,ProbabilityOfImp,0.151463846721103,10.0,10000000000.0,1.0,35.0
23,23,19_0,COMPLETED,ProbabilityOfImp,0.06731187180473,10.0,10000000000.0,1.0,15.0
24,24,19_0,COMPLETED,ProbabilityOfImp,0.10510765025223,10.0,10000000000.0,2.0,25.0
25,25,19_0,COMPLETED,ProbabilityOfImp,0.131167697842333,10.0,10000000000.0,2.0,30.0
26,26,19_0,COMPLETED,ProbabilityOfImp,0.086768374666827,10.0,10000000000.0,2.0,20.0
27,27,19_0,COMPLETED,ProbabilityOfImp,0.16058106871065,10.0,10000000000.0,2.0,35.0
28,28,19_0,COMPLETED,ProbabilityOfImp,0.069745168144455,10.0,10000000000.0,2.0,15.0
29,29,29_0,COMPLETED,ProbabilityOfImp,0.016279241052096,70.0,100.0,1.0,5.0
30,30,30_0,COMPLETED,ProbabilityOfImp,0.016915488558753,70.0,100.0,2.0,5.0
31,31,31_0,COMPLETED,ProbabilityOfImp,0.02854487567556,70.0,0.01,1.0,20.0
32,32,32_0,COMPLETED,ProbabilityOfImp,0.065517278466589,55.0,0.0001,6.0,5.0
33,33,33_0,COMPLETED,ProbabilityOfImp,0.013162920171405,55.0,1000000.0,1.0,5.0
