,trial_index,arm_name,trial_status,generation_node,k_mean,Kr,Rs,Ar,Vf
0,0,0_0,COMPLETED,Sobol,0.277653862408193,5.0,0.0001,6.0,35.0
1,1,1_0,COMPLETED,Sobol,0.115673492187913,10.0,10000000000.0,3.0,25.0
2,2,2_0,COMPLETED,Sobol,0.229346357555193,55.0,0.0001,5.0,50.0
3,3,3_0,COMPLETED,Sobol,0.053426886988445,25.0,10000.0,1.0,15.0
4,4,4_0,COMPLETED,Sobol,0.031200252044872,15.0,0.0001,3.0,5.0
5,5,5_0,COMPLETED,Sobol,0.285770117062203,40.0,1000000.0,5.0,60.0
6,6,6_0,COMPLETED,Sobol,0.161609729463573,100.0,100.0,2.0,15.0
7,7,7_0,COMPLETED,Sobol,0.26805668443732,10.0,100000000.0,4.0,40.0
8,8,8_0,COMPLETED,Sobol,0.312115861138733,10.0,0.0001,2.0,55.0
9,9,9_0,COMPLETED,Sobol,0.178199427515357,100.0,100.0,4.0,10.0
10,10,10_0,COMPLETED,Sobol,0.152237354720403,40.0,0.01,3.0,45.0
11,11,11_0,COMPLETED,Sobol,0.10629610424218,10.0,10000000000.0,6.0,20.0
12,12,12_0,COMPLETED,UpperConfidence,0.042633681755402,15.0,100000000.0,4.0,10.0
13,13,13_0,COMPLETED,UpperConfidence,0.11508816246399,10.0,1e-06,3.0,5.0
14,14,14_0,COMPLETED,UpperConfidence,0.035959773245978,15.0,0.0001,1.0,10.0
15,15,15_0,COMPLETED,UpperConfidence,0.023045836206202,25.0,0.0001,3.0,5.0
16,16,16_0,COMPLETED,UpperConfidence,0.02165212841766,25.0,0.0001,1.0,5.0
17,17,16_0,COMPLETED,UpperConfidence,0.017094097079853,25.0,0.01,1.0,5.0
18,18,16_0,COMPLETED,UpperConfidence,0.072154918136121,25.0,100.0,1.0,5.0
19,19,19_0,COMPLETED,UpperConfidence,0.024907846070236,25.0,0.0001,6.0,5.0
20,20,20_0,COMPLETED,UpperConfidence,0.024427357665736,25.0,0.0001,4.0,5.0
21,21,21_0,COMPLETED,UpperConfidence,0.026729525122698,25.0,0.0001,1.0,10.0
22,22,16_0,COMPLETED,UpperConfidence,0.042827788583201,25.0,10000.0,1.0,5.0
23,23,16_0,COMPLETED,UpperConfidence,0.027619208860337,25.0,1000000.0,1.0,5.0
24,24,16_0,COMPLETED,UpperConfidence,0.020483601435129,25.0,100000000.0,1.0,5.0
25,25,16_0,COMPLETED,UpperConfidence,0.021333649601163,25.0,0.01,1.0,10.0
26,26,16_0,COMPLETED,UpperConfidence,0.075988361842276,25.0,100.0,1.0,10.0
27,27,16_0,COMPLETED,UpperConfidence,0.047122965802938,25.0,10000.0,1.0,10.0
28,28,16_0,COMPLETED,UpperConfidence,0.031540657907048,25.0,1000000.0,1.0,10.0
29,29,16_0,COMPLETED,UpperConfidence,0.023970208129922,25.0,100000000.0,1.0,10.0
30,30,16_0,COMPLETED,UpperConfidence,0.02955751360048,15.0,0.0001,1.0,5.0
31,31,16_0,COMPLETED,UpperConfidence,0.021652557792597,15.0,0.01,1.0,5.0
32,32,16_0,COMPLETED,UpperConfidence,0.017094392131105,15.0,100.0,1.0,5.0
33,33,16_0,COMPLETED,UpperConfidence,0.080223050145519,15.0,10000.0,1.0,5.0
34,34,16_0,COMPLETED,UpperConfidence,0.046699807603254,15.0,1000000.0,1.0,5.0
35,35,16_0,COMPLETED,UpperConfidence,0.029556785724167,15.0,100000000.0,1.0,5.0
36,36,16_0,COMPLETED,UpperConfidence,0.026730663568284,15.0,0.01,1.0,10.0
37,37,16_0,COMPLETED,UpperConfidence,0.021334441357117,15.0,100.0,1.0,10.0
38,38,16_0,COMPLETED,UpperConfidence,0.092865273255011,15.0,10000.0,1.0,10.0
39,39,39_0,COMPLETED,UpperConfidence,0.03055345184927,25.0,0.0001,3.0,10.0
40,40,16_0,COMPLETED,UpperConfidence,0.055568137711285,15.0,1000000.0,1.0,10.0
41,41,16_0,COMPLETED,UpperConfidence,0.035957932972671,15.0,100000000.0,1.0,10.0
42,42,16_0,COMPLETED,UpperConfidence,0.112984025064037,10.0,1e-06,1.0,5.0
43,43,16_0,COMPLETED,UpperConfidence,0.100764323788157,10.0,0.0001,1.0,5.0
44,44,16_0,COMPLETED,UpperConfidence,0.092533075375369,10.0,0.01,1.0,5.0
45,45,16_0,COMPLETED,UpperConfidence,0.357246385220593,40.0,0.0001,1.0,5.0
46,46,46_0,COMPLETED,UpperConfidence,0.054446616526982,10.0,1000000.0,1.0,5.0
47,47,47_0,COMPLETED,UpperConfidence,0.353789014218273,40.0,0.01,1.0,5.0
48,48,16_0,COMPLETED,UpperConfidence,0.086391433866633,10.0,100.0,1.0,5.0
49,49,16_0,COMPLETED,UpperConfidence,0.31623748276911,40.0,100.0,1.0,5.0
50,50,16_0,COMPLETED,UpperConfidence,0.069611839251833,10.0,10000.0,1.0,5.0
51,51,16_0,COMPLETED,UpperConfidence,0.307770309387393,40.0,10000.0,1.0,5.0
52,52,16_0,COMPLETED,UpperConfidence,0.30305138424577,40.0,1000000.0,1.0,5.0
53,53,16_0,COMPLETED,UpperConfidence,0.080226891848731,10.0,100000000.0,1.0,5.0
54,54,16_0,COMPLETED,UpperConfidence,0.30069244711299,40.0,100000000.0,1.0,5.0
55,55,46_0,COMPLETED,UpperConfidence,0.112990721126283,5.0,10000.0,1.0,5.0
56,56,16_0,COMPLETED,UpperConfidence,0.034169281653139,25.0,0.0001,1.0,15.0
57,57,57_0,COMPLETED,UpperConfidence,0.26483396301725,100.0,0.0001,1.0,5.0
58,58,16_0,COMPLETED,UpperConfidence,0.027743357501958,25.0,0.01,1.0,15.0
59,59,16_0,COMPLETED,UpperConfidence,0.082012783870649,25.0,100.0,1.0,15.0
60,60,16_0,COMPLETED,UpperConfidence,0.037326976601183,25.0,1000000.0,1.0,15.0
61,61,16_0,COMPLETED,UpperConfidence,0.029209539504151,25.0,100000000.0,1.0,15.0
62,62,16_0,COMPLETED,UpperConfidence,0.12840557849952,10.0,1e-06,1.0,10.0
63,63,16_0,COMPLETED,UpperConfidence,0.10337951192702,10.0,0.0001,1.0,10.0
64,64,16_0,COMPLETED,UpperConfidence,0.087075192065731,10.0,0.01,1.0,10.0
65,65,16_0,COMPLETED,UpperConfidence,0.019145784791906,40.0,0.0001,1.0,10.0
66,66,16_0,COMPLETED,UpperConfidence,0.069788248042532,40.0,0.01,1.0,10.0
67,67,16_0,COMPLETED,UpperConfidence,0.077191544643102,10.0,100.0,1.0,10.0
68,68,16_0,COMPLETED,UpperConfidence,0.041712244562995,40.0,100.0,1.0,10.0
69,69,16_0,COMPLETED,UpperConfidence,0.060371804942634,10.0,10000.0,1.0,10.0
70,70,16_0,COMPLETED,UpperConfidence,0.027323872747172,40.0,10000.0,1.0,10.0
71,71,16_0,COMPLETED,UpperConfidence,0.053596128486883,10.0,1000000.0,1.0,10.0
72,72,16_0,COMPLETED,UpperConfidence,0.020601051012595,40.0,1000000.0,1.0,10.0
73,73,16_0,COMPLETED,UpperConfidence,0.092873813749828,10.0,100000000.0,1.0,10.0
74,74,16_0,COMPLETED,UpperConfidence,0.016660925030339,40.0,100000000.0,1.0,10.0
75,75,16_0,COMPLETED,UpperConfidence,0.022254908878923,25.0,0.0001,2.0,5.0
76,76,16_0,COMPLETED,UpperConfidence,0.017613128485678,25.0,0.01,2.0,5.0
77,77,16_0,COMPLETED,UpperConfidence,0.073684042255888,25.0,100.0,2.0,5.0
