,trial_index,arm_name,trial_status,generation_node,k_mean,Kr,Rs,Ar,Vf
0,0,0_0,COMPLETED,Sobol,0.040830721185048,40.0,100.0,5.0,5.0
1,1,1_0,COMPLETED,Sobol,0.275451658335037,10.0,10000000000.0,1.0,50.0
2,2,2_0,COMPLETED,Sobol,0.24399847625607,5.0,0.0001,6.0,30.0
3,3,3_0,COMPLETED,Sobol,0.082237829797501,70.0,10000.0,3.0,40.0
4,4,4_0,COMPLETED,Sobol,0.092873813749828,100.0,0.0001,1.0,30.0
5,5,5_0,COMPLETED,Sobol,0.077141635404227,10.0,10000.0,4.0,20.0
6,6,6_0,COMPLETED,Sobol,0.36328949083259,25.0,0.01,3.0,60.0
7,7,7_0,COMPLETED,Sobol,0.055469132225673,55.0,100000000.0,5.0,10.0
8,8,8_0,COMPLETED,Sobol,0.061143984162249,55.0,0.0001,2.0,25.0
9,9,9_0,COMPLETED,Sobol,0.175185249894347,25.0,1000000.0,6.0,40.0
10,10,10_0,COMPLETED,Sobol,0.072034222964107,10.0,100.0,1.0,15.0
11,11,11_0,COMPLETED,Sobol,0.418098979322977,10.0,10000000000.0,4.0,60.0
12,12,12_0,COMPLETED,UpperConfidence,0.069745168144455,10.0,10000000000.0,2.0,15.0
13,13,13_0,COMPLETED,UpperConfidence,0.028075853764923,40.0,1000000.0,3.0,20.0
14,14,14_0,COMPLETED,UpperConfidence,0.036544896055568,40.0,10000.0,5.0,15.0
15,15,15_0,COMPLETED,UpperConfidence,0.055215447734752,25.0,10000.0,4.0,10.0
16,16,16_0,COMPLETED,UpperConfidence,0.28252905931917,100.0,0.0001,6.0,5.0
17,17,17_0,COMPLETED,UpperConfidence,0.10159633102379,10.0,10000000000.0,1.0,25.0
18,18,18_0,COMPLETED,UpperConfidence,0.057826094760909,10.0,10000000000.0,2.0,10.0
19,19,19_0,COMPLETED,UpperConfidence,0.055571852140235,10.0,10000000000.0,1.0,10.0
20,20,20_0,COMPLETED,UpperConfidence,0.029218516659266,55.0,1000000.0,1.0,15.0
21,21,21_0,COMPLETED,UpperConfidence,0.020601051012595,40.0,1000000.0,1.0,10.0
22,22,22_0,COMPLETED,UpperConfidence,0.06731187180473,10.0,10000000000.0,1.0,15.0
23,23,22_0,COMPLETED,UpperConfidence,0.08258375640435,10.0,10000000000.0,1.0,20.0
24,24,24_0,COMPLETED,UpperConfidence,0.091711596253981,10.0,100.0,5.0,5.0
25,25,25_0,COMPLETED,UpperConfidence,0.022210236650066,55.0,100.0,2.0,10.0
26,26,26_0,COMPLETED,UpperConfidence,0.018675812093649,40.0,1000000.0,3.0,5.0
27,27,27_0,COMPLETED,UpperConfidence,0.024879750180163,40.0,10000.0,2.0,10.0
28,28,18_0,COMPLETED,UpperConfidence,0.047570748915401,10.0,10000000000.0,2.0,5.0
29,29,29_0,COMPLETED,UpperConfidence,0.357246385220593,40.0,0.0001,1.0,5.0
30,30,30_0,COMPLETED,UpperConfidence,0.032970017537306,55.0,100.0,3.0,20.0
31,31,31_0,COMPLETED,UpperConfidence,0.075548054297433,70.0,0.0001,1.0,35.0
32,32,32_0,COMPLETED,UpperConfidence,0.017672709308523,55.0,10000.0,3.0,5.0
33,33,33_0,COMPLETED,UpperConfidence,0.055790745191246,10.0,1000000.0,2.0,5.0
34,34,34_0,COMPLETED,UpperConfidence,0.029865781546412,55.0,10000.0,1.0,15.0
35,35,35_0,COMPLETED,UpperConfidence,0.025631094120781,40.0,10000.0,4.0,5.0
36,36,36_0,COMPLETED,UpperConfidence,0.014310258852874,55.0,1000000.0,2.0,5.0
