,trial_index,arm_name,trial_status,generation_node,k_mean,Kr,Rs,Ar,Vf
0,0,0_0,COMPLETED,Sobol,0.09216890264189,25.0,1000000.0,6.0,25.0
1,1,1_0,COMPLETED,Sobol,0.21710978122031,70.0,100.0,1.0,40.0
2,2,2_0,COMPLETED,Sobol,0.016125062940855,40.0,100000000.0,5.0,5.0
3,3,3_0,COMPLETED,Sobol,0.38155416756879,10.0,1e-06,2.0,50.0
4,4,4_0,COMPLETED,Sobol,0.3944252615314,10.0,10000000000.0,1.0,60.0
5,5,5_0,COMPLETED,Sobol,0.078691509742442,55.0,0.0001,6.0,15.0
6,6,6_0,COMPLETED,Sobol,0.166594749767977,100.0,100.0,3.0,45.0
7,7,7_0,COMPLETED,Sobol,0.110562761572197,15.0,0.01,4.0,30.0
8,8,8_0,COMPLETED,Sobol,0.051969500895016,15.0,100000000.0,3.0,15.0
9,9,9_0,COMPLETED,Sobol,0.2221406291979,100.0,0.0001,4.0,60.0
10,10,10_0,COMPLETED,Sobol,0.14018929733083,55.0,1000000.0,1.0,30.0
11,11,11_0,COMPLETED,Sobol,0.35387758219343,5.0,0.0001,6.0,45.0
12,12,12_0,COMPLETED,UpperConfidence,0.08015500307801,10.0,10000000000.0,4.0,15.0
13,13,12_0,COMPLETED,UpperConfidence,0.09940011180679,10.0,10000000000.0,4.0,20.0
14,14,12_0,COMPLETED,UpperConfidence,0.063107329927486,10.0,10000000000.0,4.0,10.0
15,15,12_0,COMPLETED,UpperConfidence,0.050369963521768,10.0,10000000000.0,4.0,5.0
16,16,12_0,COMPLETED,UpperConfidence,0.124669887113533,10.0,10000000000.0,4.0,25.0
17,17,12_0,COMPLETED,UpperConfidence,0.074768484445228,10.0,10000000000.0,3.0,15.0
18,18,12_0,COMPLETED,UpperConfidence,0.082738286272084,10.0,10000000000.0,5.0,15.0
19,19,12_0,COMPLETED,UpperConfidence,0.060353581265985,10.0,10000000000.0,3.0,10.0
20,20,12_0,COMPLETED,UpperConfidence,0.093664244336056,10.0,10000000000.0,3.0,20.0
21,21,12_0,COMPLETED,UpperConfidence,0.065408063641234,10.0,10000000000.0,5.0,10.0
22,22,12_0,COMPLETED,UpperConfidence,0.10484611529218,10.0,10000000000.0,5.0,20.0
23,23,12_0,COMPLETED,UpperConfidence,0.048674111288145,10.0,10000000000.0,3.0,5.0
24,24,12_0,COMPLETED,UpperConfidence,0.115673492187913,10.0,10000000000.0,3.0,25.0
25,25,12_0,COMPLETED,UpperConfidence,0.05098658430472,10.0,10000000000.0,5.0,5.0
26,26,12_0,COMPLETED,UpperConfidence,0.129896887311847,10.0,10000000000.0,5.0,25.0
27,27,12_0,COMPLETED,UpperConfidence,0.15198796146529,10.0,10000000000.0,4.0,30.0
28,28,12_0,COMPLETED,UpperConfidence,0.141900154142867,10.0,10000000000.0,3.0,30.0
29,29,12_0,COMPLETED,UpperConfidence,0.16025910974408,10.0,10000000000.0,5.0,30.0
30,30,30_0,COMPLETED,UpperConfidence,0.183693611021243,10.0,10000000000.0,4.0,35.0
31,31,12_0,COMPLETED,UpperConfidence,0.069745168144455,10.0,10000000000.0,2.0,15.0
32,32,12_0,COMPLETED,UpperConfidence,0.084241117951801,10.0,10000000000.0,6.0,15.0
33,33,12_0,COMPLETED,UpperConfidence,0.057826094760909,10.0,10000000000.0,2.0,10.0
34,34,12_0,COMPLETED,UpperConfidence,0.086768374666827,10.0,10000000000.0,2.0,20.0
35,35,12_0,COMPLETED,UpperConfidence,0.066385963850866,10.0,10000000000.0,6.0,10.0
36,36,36_0,COMPLETED,UpperConfidence,0.047570748915401,10.0,10000000000.0,2.0,5.0
37,37,37_0,COMPLETED,UpperConfidence,0.046701372730324,10.0,10000000000.0,1.0,5.0
38,38,38_0,COMPLETED,UpperConfidence,0.357246385220593,40.0,0.0001,1.0,5.0
39,39,36_0,COMPLETED,UpperConfidence,0.055571852140235,10.0,10000000000.0,1.0,10.0
40,40,40_0,COMPLETED,UpperConfidence,0.050922423149897,10.0,10000000000.0,6.0,5.0
41,41,40_0,COMPLETED,UpperConfidence,0.10629610424218,10.0,10000000000.0,6.0,20.0
42,42,42_0,COMPLETED,UpperConfidence,0.130656440889277,10.0,10000000000.0,6.0,25.0
43,43,40_0,COMPLETED,UpperConfidence,0.160348287002157,10.0,10000000000.0,6.0,30.0
44,44,44_0,COMPLETED,UpperConfidence,0.10510765025223,10.0,10000000000.0,2.0,25.0
45,45,44_0,COMPLETED,UpperConfidence,0.131167697842333,10.0,10000000000.0,2.0,30.0
46,46,44_0,COMPLETED,UpperConfidence,0.16058106871065,10.0,10000000000.0,2.0,35.0
47,47,44_0,COMPLETED,UpperConfidence,0.10159633102379,10.0,10000000000.0,1.0,25.0
48,48,44_0,COMPLETED,UpperConfidence,0.12298717167541,10.0,10000000000.0,1.0,30.0
49,49,44_0,COMPLETED,UpperConfidence,0.08258375640435,10.0,10000000000.0,1.0,20.0
50,50,44_0,COMPLETED,UpperConfidence,0.151463846721103,10.0,10000000000.0,1.0,35.0
51,51,44_0,COMPLETED,UpperConfidence,0.171943464433853,10.0,10000000000.0,3.0,35.0
52,52,44_0,COMPLETED,UpperConfidence,0.06731187180473,10.0,10000000000.0,1.0,15.0
53,53,44_0,COMPLETED,UpperConfidence,0.196934660137213,10.0,10000000000.0,2.0,40.0
54,54,44_0,COMPLETED,UpperConfidence,0.187184249922173,10.0,10000000000.0,1.0,40.0
55,55,44_0,COMPLETED,UpperConfidence,0.208732497568677,10.0,10000000000.0,3.0,40.0
56,56,44_0,COMPLETED,UpperConfidence,0.24007792488662,10.0,10000000000.0,2.0,45.0
57,57,44_0,COMPLETED,UpperConfidence,0.229924596023347,10.0,10000000000.0,1.0,45.0
58,58,44_0,COMPLETED,UpperConfidence,0.249551253118743,10.0,10000000000.0,3.0,45.0
59,59,44_0,COMPLETED,UpperConfidence,0.289069784222953,10.0,10000000000.0,2.0,50.0
60,60,44_0,COMPLETED,UpperConfidence,0.220605964503627,10.0,10000000000.0,4.0,40.0
61,61,44_0,COMPLETED,UpperConfidence,0.275451658335037,10.0,10000000000.0,1.0,50.0
62,62,44_0,COMPLETED,UpperConfidence,0.29719794592188,10.0,10000000000.0,3.0,50.0
63,63,44_0,COMPLETED,UpperConfidence,0.26335768042396,10.0,10000000000.0,4.0,45.0
64,64,44_0,COMPLETED,UpperConfidence,0.34027219406436,10.0,10000000000.0,2.0,55.0
65,65,44_0,COMPLETED,UpperConfidence,0.333211822123713,10.0,10000000000.0,1.0,55.0
66,66,44_0,COMPLETED,UpperConfidence,0.35125222947279,10.0,10000000000.0,3.0,55.0
67,67,44_0,COMPLETED,UpperConfidence,0.310310523305256,10.0,10000000000.0,4.0,50.0
68,68,44_0,COMPLETED,UpperConfidence,0.191495811080303,10.0,10000000000.0,5.0,35.0
69,69,44_0,COMPLETED,UpperConfidence,0.398242839413717,10.0,10000000000.0,2.0,60.0
70,70,44_0,COMPLETED,UpperConfidence,0.22801781983864,10.0,10000000000.0,5.0,40.0
71,71,44_0,COMPLETED,UpperConfidence,0.410342788739874,10.0,10000000000.0,3.0,60.0
72,72,44_0,COMPLETED,UpperConfidence,0.362412735492947,10.0,10000000000.0,4.0,55.0
73,73,44_0,COMPLETED,UpperConfidence,0.270156468790446,10.0,10000000000.0,5.0,45.0
74,74,44_0,COMPLETED,UpperConfidence,0.418098979322977,10.0,10000000000.0,4.0,60.0
75,75,44_0,COMPLETED,UpperConfidence,0.315339150323123,10.0,10000000000.0,5.0,50.0
76,76,44_0,COMPLETED,UpperConfidence,0.367596662823363,10.0,10000000000.0,5.0,55.0
77,77,44_0,COMPLETED,UpperConfidence,0.192852396472063,10.0,10000000000.0,6.0,35.0
78,78,44_0,COMPLETED,UpperConfidence,0.227822096165433,10.0,10000000000.0,6.0,40.0
79,79,44_0,COMPLETED,UpperConfidence,0.424267879867527,10.0,10000000000.0,5.0,60.0
80,80,44_0,COMPLETED,UpperConfidence,0.27039058845165,10.0,10000000000.0,6.0,45.0
81,81,44_0,COMPLETED,UpperConfidence,0.318499192125493,10.0,10000000000.0,6.0,50.0
82,82,44_0,COMPLETED,UpperConfidence,0.370296991543517,10.0,10000000000.0,6.0,55.0
83,83,44_0,COMPLETED,UpperConfidence,0.153458811754743,10.0,100000000.0,2.0,25.0
84,84,44_0,COMPLETED,UpperConfidence,0.077012026252707,15.0,100000000.0,2.0,25.0
85,85,44_0,COMPLETED,UpperConfidence,0.131566078131547,10.0,100000000.0,2.0,20.0
86,86,44_0,COMPLETED,UpperConfidence,0.181799098157347,10.0,100000000.0,2.0,30.0
87,87,44_0,COMPLETED,UpperConfidence,0.061405317876418,15.0,100000000.0,2.0,20.0
88,88,44_0,COMPLETED,UpperConfidence,0.101194094422847,15.0,100000000.0,2.0,30.0
89,89,44_0,COMPLETED,UpperConfidence,0.066217038580654,10.0,1000000.0,2.0,25.0
90,90,44_0,COMPLETED,UpperConfidence,0.068008649250707,10.0,10000.0,2.0,25.0
91,91,44_0,COMPLETED,UpperConfidence,0.07855845471133,10.0,100.0,2.0,25.0
92,92,44_0,COMPLETED,UpperConfidence,0.09240422264082,10.0,0.01,2.0,25.0
93,93,44_0,COMPLETED,UpperConfidence,0.134155720838353,10.0,0.0001,2.0,25.0
94,94,44_0,COMPLETED,UpperConfidence,0.195899758760337,10.0,1e-06,2.0,25.0
95,95,44_0,COMPLETED,UpperConfidence,0.10509559969433,15.0,1000000.0,2.0,25.0
