,trial_index,arm_name,trial_status,generation_node,k_mean,Kr,Rs,Ar,Vf
0,0,0_0,COMPLETED,Sobol,0.4930304307231,5.0,0.0001,4.0,60.0
1,1,1_0,COMPLETED,Sobol,0.116975562066177,55.0,100000000.0,1.0,30.0
2,2,2_0,COMPLETED,Sobol,0.120166696392207,70.0,0.01,5.0,35.0
3,3,3_0,COMPLETED,Sobol,0.044926935045086,25.0,10000.0,3.0,5.0
4,4,4_0,COMPLETED,Sobol,0.027744961307343,15.0,100.0,1.0,15.0
5,5,5_0,COMPLETED,Sobol,0.185521061847367,100.0,100.0,4.0,40.0
6,6,6_0,COMPLETED,Sobol,0.031269020449137,40.0,0.0001,2.0,20.0
7,7,7_0,COMPLETED,Sobol,0.318499192125493,10.0,10000000000.0,6.0,50.0
8,8,8_0,COMPLETED,Sobol,0.16534158619595,10.0,0.01,2.0,45.0
9,9,9_0,COMPLETED,Sobol,0.03205986351348,40.0,10000.0,6.0,10.0
10,10,10_0,COMPLETED,Sobol,0.181799098157347,100.0,0.0001,2.0,55.0
11,11,11_0,COMPLETED,Sobol,0.074656659458549,15.0,100000000.0,4.0,20.0
12,12,12_0,COMPLETED,LogExpectedImprovement,0.192181330297443,25.0,0.0001,2.0,45.0
13,13,13_0,COMPLETED,LogExpectedImprovement,0.171833612721937,5.0,0.0001,2.0,20.0
14,14,14_0,COMPLETED,LogExpectedImprovement,0.06731187180473,10.0,10000000000.0,1.0,15.0
15,15,14_0,COMPLETED,LogExpectedImprovement,0.08258375640435,10.0,10000000000.0,1.0,20.0
16,16,14_0,COMPLETED,LogExpectedImprovement,0.055571852140235,10.0,10000000000.0,1.0,10.0
17,17,14_0,COMPLETED,LogExpectedImprovement,0.046701372730324,10.0,10000000000.0,1.0,5.0
18,18,14_0,COMPLETED,LogExpectedImprovement,0.10159633102379,10.0,10000000000.0,1.0,25.0
19,19,19_0,COMPLETED,LogExpectedImprovement,0.022843706548308,40.0,100000000.0,1.0,15.0
20,20,20_0,COMPLETED,LogExpectedImprovement,0.019145784791906,40.0,0.0001,1.0,10.0
21,21,21_0,COMPLETED,LogExpectedImprovement,0.053426886988445,25.0,10000.0,1.0,15.0
22,22,22_0,COMPLETED,LogExpectedImprovement,0.079795134851101,40.0,0.01,1.0,20.0
23,23,23_0,COMPLETED,LogExpectedImprovement,0.020483601435129,25.0,100000000.0,1.0,5.0
24,24,24_0,COMPLETED,LogExpectedImprovement,0.061949843320339,15.0,100.0,5.0,20.0
25,25,25_0,COMPLETED,LogExpectedImprovement,0.058821597063526,55.0,0.0001,3.0,5.0
26,26,20_0,COMPLETED,LogExpectedImprovement,0.069788248042532,40.0,0.01,1.0,10.0
27,27,27_0,COMPLETED,LogExpectedImprovement,0.028488788559436,25.0,0.0001,2.0,10.0
28,28,28_0,COMPLETED,LogExpectedImprovement,0.057826094760909,10.0,10000000000.0,2.0,10.0
29,29,28_0,COMPLETED,LogExpectedImprovement,0.047570748915401,10.0,10000000000.0,2.0,5.0
30,30,28_0,COMPLETED,LogExpectedImprovement,0.069745168144455,10.0,10000000000.0,2.0,15.0
31,31,28_0,COMPLETED,LogExpectedImprovement,0.086768374666827,10.0,10000000000.0,2.0,20.0
32,32,28_0,COMPLETED,LogExpectedImprovement,0.060353581265985,10.0,10000000000.0,3.0,10.0
33,33,28_0,COMPLETED,LogExpectedImprovement,0.048674111288145,10.0,10000000000.0,3.0,5.0
34,34,28_0,COMPLETED,LogExpectedImprovement,0.074768484445228,10.0,10000000000.0,3.0,15.0
35,35,28_0,COMPLETED,LogExpectedImprovement,0.093664244336056,10.0,10000000000.0,3.0,20.0
36,36,28_0,COMPLETED,LogExpectedImprovement,0.10510765025223,10.0,10000000000.0,2.0,25.0
37,37,28_0,COMPLETED,LogExpectedImprovement,0.115673492187913,10.0,10000000000.0,3.0,25.0
38,38,28_0,COMPLETED,LogExpectedImprovement,0.131167697842333,10.0,10000000000.0,2.0,30.0
39,39,28_0,COMPLETED,LogExpectedImprovement,0.063107329927486,10.0,10000000000.0,4.0,10.0
40,40,28_0,COMPLETED,LogExpectedImprovement,0.050369963521768,10.0,10000000000.0,4.0,5.0
41,41,28_0,COMPLETED,LogExpectedImprovement,0.08015500307801,10.0,10000000000.0,4.0,15.0
42,42,42_0,COMPLETED,LogExpectedImprovement,0.031304411244665,25.0,100000000.0,2.0,15.0
43,43,43_0,COMPLETED,LogExpectedImprovement,0.052798152159584,55.0,0.0001,2.0,15.0
44,44,44_0,COMPLETED,LogExpectedImprovement,0.072154918136121,25.0,100.0,1.0,5.0
45,45,45_0,COMPLETED,LogExpectedImprovement,0.16834919828335,5.0,0.0001,1.0,20.0
46,46,46_0,COMPLETED,LogExpectedImprovement,0.035051094577205,40.0,0.0001,5.0,15.0
47,47,47_0,COMPLETED,LogExpectedImprovement,0.02147259471202,40.0,100000000.0,6.0,10.0
48,48,48_0,COMPLETED,LogExpectedImprovement,0.092018044971668,55.0,0.0001,1.0,25.0
49,49,49_0,COMPLETED,LogExpectedImprovement,0.04479281138504,25.0,0.0001,1.0,20.0
50,50,50_0,COMPLETED,LogExpectedImprovement,0.019985137590149,40.0,1000000.0,5.0,5.0
51,51,51_0,COMPLETED,LogExpectedImprovement,0.12298717167541,10.0,10000000000.0,1.0,30.0
52,52,52_0,COMPLETED,LogExpectedImprovement,0.192856740067003,5.0,0.0001,1.0,25.0
53,53,51_0,COMPLETED,LogExpectedImprovement,0.151463846721103,10.0,10000000000.0,1.0,35.0
54,54,51_0,COMPLETED,LogExpectedImprovement,0.187184249922173,10.0,10000000000.0,1.0,40.0
55,55,51_0,COMPLETED,LogExpectedImprovement,0.16058106871065,10.0,10000000000.0,2.0,35.0
56,56,51_0,COMPLETED,LogExpectedImprovement,0.196934660137213,10.0,10000000000.0,2.0,40.0
57,57,51_0,COMPLETED,LogExpectedImprovement,0.229924596023347,10.0,10000000000.0,1.0,45.0
58,58,51_0,COMPLETED,LogExpectedImprovement,0.24007792488662,10.0,10000000000.0,2.0,45.0
59,59,51_0,COMPLETED,LogExpectedImprovement,0.275451658335037,10.0,10000000000.0,1.0,50.0
60,60,51_0,COMPLETED,LogExpectedImprovement,0.141900154142867,10.0,10000000000.0,3.0,30.0
61,61,51_0,COMPLETED,LogExpectedImprovement,0.171943464433853,10.0,10000000000.0,3.0,35.0
62,62,51_0,COMPLETED,LogExpectedImprovement,0.289069784222953,10.0,10000000000.0,2.0,50.0
63,63,51_0,COMPLETED,LogExpectedImprovement,0.208732497568677,10.0,10000000000.0,3.0,40.0
64,64,51_0,COMPLETED,LogExpectedImprovement,0.333211822123713,10.0,10000000000.0,1.0,55.0
65,65,51_0,COMPLETED,LogExpectedImprovement,0.249551253118743,10.0,10000000000.0,3.0,45.0
66,66,51_0,COMPLETED,LogExpectedImprovement,0.34027219406436,10.0,10000000000.0,2.0,55.0
67,67,51_0,COMPLETED,LogExpectedImprovement,0.29719794592188,10.0,10000000000.0,3.0,50.0
68,68,51_0,COMPLETED,LogExpectedImprovement,0.3944252615314,10.0,10000000000.0,1.0,60.0
69,69,51_0,COMPLETED,LogExpectedImprovement,0.398242839413717,10.0,10000000000.0,2.0,60.0
70,70,51_0,COMPLETED,LogExpectedImprovement,0.15198796146529,10.0,10000000000.0,4.0,30.0
71,71,51_0,COMPLETED,LogExpectedImprovement,0.35125222947279,10.0,10000000000.0,3.0,55.0
72,72,51_0,COMPLETED,LogExpectedImprovement,0.124669887113533,10.0,10000000000.0,4.0,25.0
73,73,51_0,COMPLETED,LogExpectedImprovement,0.183693611021243,10.0,10000000000.0,4.0,35.0
74,74,51_0,COMPLETED,LogExpectedImprovement,0.09940011180679,10.0,10000000000.0,4.0,20.0
75,75,51_0,COMPLETED,LogExpectedImprovement,0.220605964503627,10.0,10000000000.0,4.0,40.0
76,76,51_0,COMPLETED,LogExpectedImprovement,0.26335768042396,10.0,10000000000.0,4.0,45.0
77,77,51_0,COMPLETED,LogExpectedImprovement,0.410342788739874,10.0,10000000000.0,3.0,60.0
78,78,51_0,COMPLETED,LogExpectedImprovement,0.310310523305256,10.0,10000000000.0,4.0,50.0
79,79,51_0,COMPLETED,LogExpectedImprovement,0.362412735492947,10.0,10000000000.0,4.0,55.0
80,80,51_0,COMPLETED,LogExpectedImprovement,0.16025910974408,10.0,10000000000.0,5.0,30.0
81,81,51_0,COMPLETED,LogExpectedImprovement,0.129896887311847,10.0,10000000000.0,5.0,25.0
82,82,51_0,COMPLETED,LogExpectedImprovement,0.191495811080303,10.0,10000000000.0,5.0,35.0
83,83,51_0,COMPLETED,LogExpectedImprovement,0.418098979322977,10.0,10000000000.0,4.0,60.0
84,84,51_0,COMPLETED,LogExpectedImprovement,0.10484611529218,10.0,10000000000.0,5.0,20.0
85,85,51_0,COMPLETED,LogExpectedImprovement,0.22801781983864,10.0,10000000000.0,5.0,40.0
86,86,51_0,COMPLETED,LogExpectedImprovement,0.082738286272084,10.0,10000000000.0,5.0,15.0
87,87,51_0,COMPLETED,LogExpectedImprovement,0.270156468790446,10.0,10000000000.0,5.0,45.0
