,trial_index,arm_name,trial_status,generation_node,k_mean,Kr,Rs,Ar,Vf
0,0,0_0,COMPLETED,Sobol,0.444634928744634,5.0,10000.0,5.0,55.0
1,1,1_0,COMPLETED,Sobol,0.311552629383153,100.0,0.0001,3.0,10.0
2,2,2_0,COMPLETED,Sobol,0.227822096165433,10.0,10000000000.0,6.0,40.0
3,3,3_0,COMPLETED,Sobol,0.050884668075716,15.0,100.0,1.0,25.0
4,4,4_0,COMPLETED,Sobol,0.041098497773365,25.0,100000000.0,2.0,20.0
5,5,5_0,COMPLETED,Sobol,0.139115046313823,40.0,0.01,4.0,40.0
6,6,6_0,COMPLETED,Sobol,0.207743772073043,70.0,10000.0,1.0,5.0
7,7,7_0,COMPLETED,Sobol,0.446418257563837,10.0,1e-06,6.0,55.0
8,8,8_0,COMPLETED,Sobol,0.151463846721103,10.0,10000000000.0,1.0,35.0
9,9,9_0,COMPLETED,Sobol,0.081913654947152,70.0,100.0,5.0,20.0
10,10,10_0,COMPLETED,Sobol,0.13939723123362,40.0,1000000.0,2.0,50.0
11,11,11_0,COMPLETED,Sobol,0.024427357665736,25.0,0.0001,4.0,5.0
12,12,12_0,COMPLETED,Sobol,0.123660354314853,15.0,10000.0,6.0,15.0
13,13,13_0,COMPLETED,Sobol,0.03574638419891,55.0,0.0001,2.0,60.0
14,14,14_0,COMPLETED,Sobol,0.184737898573293,100.0,100.0,4.0,30.0
15,15,15_0,COMPLETED,Sobol,0.342610874298556,5.0,0.0001,3.0,45.0
16,16,16_0,COMPLETED,Sobol,0.136785732181483,5.0,10000.0,5.0,10.0
17,17,17_0,COMPLETED,Sobol,0.150044910499907,100.0,0.0001,1.0,50.0
18,18,18_0,COMPLETED,Sobol,0.051086154545163,55.0,10000.0,4.0,25.0
19,19,19_0,COMPLETED,Sobol,0.178312886594653,15.0,0.0001,3.0,40.0
20,20,20_0,COMPLETED,UpperConfidence,0.42682408913937,10.0,10000000000.0,6.0,60.0
21,21,20_0,COMPLETED,UpperConfidence,0.370296991543517,10.0,10000000000.0,6.0,55.0
22,22,20_0,COMPLETED,UpperConfidence,0.318499192125493,10.0,10000000000.0,6.0,50.0
23,23,20_0,COMPLETED,UpperConfidence,0.424267879867527,10.0,10000000000.0,5.0,60.0
24,24,20_0,COMPLETED,UpperConfidence,0.367596662823363,10.0,10000000000.0,5.0,55.0
25,25,20_0,COMPLETED,UpperConfidence,0.315339150323123,10.0,10000000000.0,5.0,50.0
26,26,20_0,COMPLETED,UpperConfidence,0.27039058845165,10.0,10000000000.0,6.0,45.0
27,27,20_0,COMPLETED,UpperConfidence,0.270156468790446,10.0,10000000000.0,5.0,45.0
28,28,20_0,COMPLETED,UpperConfidence,0.418098979322977,10.0,10000000000.0,4.0,60.0
29,29,20_0,COMPLETED,UpperConfidence,0.362412735492947,10.0,10000000000.0,4.0,55.0
30,30,20_0,COMPLETED,UpperConfidence,0.22801781983864,10.0,10000000000.0,5.0,40.0
31,31,31_0,COMPLETED,UpperConfidence,0.050922423149897,10.0,10000000000.0,6.0,5.0
32,32,31_0,COMPLETED,UpperConfidence,0.066385963850866,10.0,10000000000.0,6.0,10.0
33,33,31_0,COMPLETED,UpperConfidence,0.084241117951801,10.0,10000000000.0,6.0,15.0
34,34,34_0,COMPLETED,UpperConfidence,0.05098658430472,10.0,10000000000.0,5.0,5.0
35,35,20_0,COMPLETED,UpperConfidence,0.310310523305256,10.0,10000000000.0,4.0,50.0
36,36,31_0,COMPLETED,UpperConfidence,0.065408063641234,10.0,10000000000.0,5.0,10.0
37,37,31_0,COMPLETED,UpperConfidence,0.082738286272084,10.0,10000000000.0,5.0,15.0
38,38,31_0,COMPLETED,UpperConfidence,0.10629610424218,10.0,10000000000.0,6.0,20.0
39,39,34_0,COMPLETED,UpperConfidence,0.050369963521768,10.0,10000000000.0,4.0,5.0
40,40,34_0,COMPLETED,UpperConfidence,0.063107329927486,10.0,10000000000.0,4.0,10.0
41,41,34_0,COMPLETED,UpperConfidence,0.08015500307801,10.0,10000000000.0,4.0,15.0
42,42,31_0,COMPLETED,UpperConfidence,0.10484611529218,10.0,10000000000.0,5.0,20.0
43,43,31_0,COMPLETED,UpperConfidence,0.130656440889277,10.0,10000000000.0,6.0,25.0
44,44,31_0,COMPLETED,UpperConfidence,0.129896887311847,10.0,10000000000.0,5.0,25.0
45,45,31_0,COMPLETED,UpperConfidence,0.160348287002157,10.0,10000000000.0,6.0,30.0
46,46,31_0,COMPLETED,UpperConfidence,0.09940011180679,10.0,10000000000.0,4.0,20.0
47,47,31_0,COMPLETED,UpperConfidence,0.16025910974408,10.0,10000000000.0,5.0,30.0
48,48,31_0,COMPLETED,UpperConfidence,0.124669887113533,10.0,10000000000.0,4.0,25.0
49,49,31_0,COMPLETED,UpperConfidence,0.192852396472063,10.0,10000000000.0,6.0,35.0
50,50,31_0,COMPLETED,UpperConfidence,0.191495811080303,10.0,10000000000.0,5.0,35.0
51,51,31_0,COMPLETED,UpperConfidence,0.048674111288145,10.0,10000000000.0,3.0,5.0
52,52,31_0,COMPLETED,UpperConfidence,0.15198796146529,10.0,10000000000.0,4.0,30.0
53,53,31_0,COMPLETED,UpperConfidence,0.060353581265985,10.0,10000000000.0,3.0,10.0
54,54,20_0,COMPLETED,UpperConfidence,0.26335768042396,10.0,10000000000.0,4.0,45.0
55,55,31_0,COMPLETED,UpperConfidence,0.074768484445228,10.0,10000000000.0,3.0,15.0
56,56,31_0,COMPLETED,UpperConfidence,0.093664244336056,10.0,10000000000.0,3.0,20.0
57,57,31_0,COMPLETED,UpperConfidence,0.183693611021243,10.0,10000000000.0,4.0,35.0
58,58,31_0,COMPLETED,UpperConfidence,0.115673492187913,10.0,10000000000.0,3.0,25.0
59,59,31_0,COMPLETED,UpperConfidence,0.220605964503627,10.0,10000000000.0,4.0,40.0
60,60,31_0,COMPLETED,UpperConfidence,0.141900154142867,10.0,10000000000.0,3.0,30.0
61,61,31_0,COMPLETED,UpperConfidence,0.047570748915401,10.0,10000000000.0,2.0,5.0
62,62,31_0,COMPLETED,UpperConfidence,0.057826094760909,10.0,10000000000.0,2.0,10.0
63,63,31_0,COMPLETED,UpperConfidence,0.171943464433853,10.0,10000000000.0,3.0,35.0
64,64,31_0,COMPLETED,UpperConfidence,0.069745168144455,10.0,10000000000.0,2.0,15.0
65,65,31_0,COMPLETED,UpperConfidence,0.086768374666827,10.0,10000000000.0,2.0,20.0
66,66,31_0,COMPLETED,UpperConfidence,0.208732497568677,10.0,10000000000.0,3.0,40.0
67,67,31_0,COMPLETED,UpperConfidence,0.10510765025223,10.0,10000000000.0,2.0,25.0
68,68,31_0,COMPLETED,UpperConfidence,0.131167697842333,10.0,10000000000.0,2.0,30.0
69,69,31_0,COMPLETED,UpperConfidence,0.249551253118743,10.0,10000000000.0,3.0,45.0
70,70,31_0,COMPLETED,UpperConfidence,0.16058106871065,10.0,10000000000.0,2.0,35.0
71,71,31_0,COMPLETED,UpperConfidence,0.08450637232947,10.0,100000000.0,6.0,5.0
72,72,31_0,COMPLETED,UpperConfidence,0.03327588496921,15.0,100000000.0,6.0,5.0
73,73,31_0,COMPLETED,UpperConfidence,0.103050506019527,10.0,100000000.0,6.0,10.0
74,74,31_0,COMPLETED,UpperConfidence,0.046327145319586,15.0,100000000.0,6.0,10.0
75,75,31_0,COMPLETED,UpperConfidence,0.059227309735779,10.0,1000000.0,6.0,5.0
76,76,20_0,COMPLETED,UpperConfidence,0.410342788739874,10.0,10000000000.0,3.0,60.0
77,77,20_0,COMPLETED,UpperConfidence,0.35125222947279,10.0,10000000000.0,3.0,55.0
78,78,31_0,COMPLETED,UpperConfidence,0.078185747120342,10.0,10000.0,6.0,5.0
79,79,20_0,COMPLETED,UpperConfidence,0.29719794592188,10.0,10000000000.0,3.0,50.0
80,80,31_0,COMPLETED,UpperConfidence,0.092293061647106,10.0,100.0,6.0,5.0
81,81,20_0,COMPLETED,UpperConfidence,0.398242839413717,10.0,10000000000.0,2.0,60.0
82,82,20_0,COMPLETED,UpperConfidence,0.34027219406436,10.0,10000000000.0,2.0,55.0
83,83,20_0,COMPLETED,UpperConfidence,0.289069784222953,10.0,10000000000.0,2.0,50.0
84,84,31_0,COMPLETED,UpperConfidence,0.097463136606277,10.0,0.01,6.0,5.0
85,85,20_0,COMPLETED,UpperConfidence,0.24007792488662,10.0,10000000000.0,2.0,45.0
86,86,31_0,COMPLETED,UpperConfidence,0.107086275093717,10.0,0.0001,6.0,5.0
87,87,31_0,COMPLETED,UpperConfidence,0.11688869931996,10.0,1e-06,6.0,5.0
88,88,31_0,COMPLETED,UpperConfidence,0.046701372730324,10.0,10000000000.0,1.0,5.0
89,89,31_0,COMPLETED,UpperConfidence,0.050921254904704,15.0,1000000.0,6.0,5.0
90,90,31_0,COMPLETED,UpperConfidence,0.11689296746435,5.0,10000.0,6.0,5.0
91,91,31_0,COMPLETED,UpperConfidence,0.084503816579844,15.0,10000.0,6.0,5.0
92,92,31_0,COMPLETED,UpperConfidence,0.01997537781337,15.0,100.0,6.0,5.0
93,93,31_0,COMPLETED,UpperConfidence,0.02490825516102,15.0,0.01,6.0,5.0
94,94,31_0,COMPLETED,UpperConfidence,0.116892876784107,5.0,0.0001,6.0,5.0
95,95,31_0,COMPLETED,UpperConfidence,0.03327647962514,15.0,0.0001,6.0,5.0
96,96,31_0,COMPLETED,UpperConfidence,0.023724863267294,25.0,100000000.0,6.0,5.0
97,97,31_0,COMPLETED,UpperConfidence,0.063498492328068,10.0,1000000.0,6.0,10.0
98,98,20_0,COMPLETED,UpperConfidence,0.196934660137213,10.0,10000000000.0,2.0,40.0
99,99,31_0,COMPLETED,UpperConfidence,0.074148217702964,10.0,10000.0,6.0,10.0
100,100,31_0,COMPLETED,UpperConfidence,0.090654020755366,10.0,100.0,6.0,10.0
101,101,31_0,COMPLETED,UpperConfidence,0.099503144791129,10.0,0.01,6.0,10.0
102,102,31_0,COMPLETED,UpperConfidence,0.11807987749155,10.0,0.0001,6.0,10.0
103,103,31_0,COMPLETED,UpperConfidence,0.137393428258523,10.0,1e-06,6.0,10.0
104,104,31_0,COMPLETED,UpperConfidence,0.055571852140235,10.0,10000000000.0,1.0,10.0
105,105,31_0,COMPLETED,UpperConfidence,0.066383342035522,15.0,1000000.0,6.0,10.0
106,106,31_0,COMPLETED,UpperConfidence,0.137402156305033,5.0,10000.0,6.0,10.0
107,107,31_0,COMPLETED,UpperConfidence,0.103045129076467,15.0,10000.0,6.0,10.0
108,108,31_0,COMPLETED,UpperConfidence,0.030481326741312,15.0,100.0,6.0,10.0
109,109,31_0,COMPLETED,UpperConfidence,0.036463468287383,15.0,0.01,6.0,10.0
110,110,31_0,COMPLETED,UpperConfidence,0.13740211982373,5.0,0.0001,6.0,10.0
111,111,31_0,COMPLETED,UpperConfidence,0.046328567040854,15.0,0.0001,6.0,10.0
112,112,31_0,COMPLETED,UpperConfidence,0.123669256311897,10.0,100000000.0,6.0,15.0
113,113,31_0,COMPLETED,UpperConfidence,0.033691786007645,25.0,100000000.0,6.0,10.0
114,114,31_0,COMPLETED,UpperConfidence,0.062010852647248,15.0,100000000.0,6.0,15.0
115,115,20_0,COMPLETED,UpperConfidence,0.464792554222633,10.0,100000000.0,6.0,60.0
116,116,20_0,COMPLETED,UpperConfidence,0.40472399466312,15.0,100000000.0,6.0,60.0
117,117,20_0,COMPLETED,UpperConfidence,0.411177411633256,10.0,100000000.0,6.0,55.0
